Index,ARIMA MAPE,Four Inputs RNN MAPE,One Input RNN MAPE
2018-03-23,114.1037562755057,9.483666395646146,94.74087939117278
2018-03-24,493.56226995382315,315.8929195594372,80.81264472709127
2018-03-25,40.08863432488046,20.493081844300008,43.46878323316326
2018-03-26,85.26578804169434,13.039711330641653,55.797376635970075
2018-03-27,2122.0276136907487,621.0059122602125,100.60065709316525
2018-03-28,41.88479504882432,176.8353258939772,227.36433561652345
2018-03-29,374.4136968227155,1760.0305646883137,201.76316125738398
2018-03-30,138.89848699009448,151.586065159081,80.52672736323369
2018-03-31,43.2516744016527,6.510591717072055,53.00728081846828
2018-04-01,126.65513905069132,16.317696744954556,106.43781243935113
